0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-40.738956,-45.86397,-41.349472,-55.39439,-33.656097,-42.9175,-36.99589,-45.520287,-33.98569,-45.79129,-32.475185,-71.75516,-33.77796,-40.89122,-43.404934,-47.94291,-41.28707,-62.898712,-37.705082,-45.5744,-42.7612,-46.677025,-36.893192,-63.247616,-35.447334,-44.718452,-33.30049,-42.940594,-39.477615,-45.44458,-34.919544,-44.635433
69.404,-9.88699,74.72794,-5.1541705,54.384686,-9.040956,61.268097,-10.491625,57.02408,-9.477123,57.747944,-4.18073,52.134438,-9.722739,70.84118,-0.6738258,81.5515,-15.444954,64.24949,-9.375399,68.75702,-9.474001,62.32817,-15.050886,58.512344,-10.116931,53.307404,-9.513545,70.27582,-7.0890493,57.237034,-9.717688
-46.41078,-6.0870657,-53.390087,-10.1555,-38.793247,-4.2276735,-45.85543,6.033321,-42.929882,-2.7249777,-60.426582,-18.916899,-38.12683,2.0504582,-48.60285,-5.9342585,-58.79109,-13.606349,-45.16123,7.433448,-46.313583,-4.65543,-59.51026,-16.802011,-45.08986,3.136148,-38.84069,-4.2827044,-47.01915,11.703062,-45.02129,3.155435
-33.730503,11.763302,-15.817852,5.773389,-26.767727,5.592298,-22.139688,9.841224,-29.648516,6.1858144,-36.687218,-1.6246758,-13.870874,5.5278425,-14.23549,8.588866,-23.375673,4.872595,-29.716278,15.337054,-31.327549,9.124875,-27.675344,-0.10836273,-23.008997,9.627119,-24.660154,4.907638,-32.110077,11.093639,-22.599472,9.788745
7.901773,-5.248446,0.9974908,12.716658,1.8560376,-0.89607793,5.3916535,-5.8919864,3.2424738,-3.4961138,-0.60644,-2.9951,5.6721587,-2.4496353,7.967953,-4.090805,-4.619349,9.520382,6.1188116,-6.6806035,7.694175,-4.573507,-3.394083,26.042282,4.1228724,-3.9883554,4.9064846,-0.6123842,6.8038626,-5.586209,3.8184383,-3.902843
-18.964243,-80.49044,-5.9597173,-91.97607,-11.668048,-69.72976,-13.07332,-75.950485,-10.554627,-73.22308,31.435331,-79.69575,-12.459678,-63.142136,-17.573933,-83.0961,13.692638,-90.959694,-17.58006,-78.293365,-19.590715,-82.02344,19.909407,-86.59899,-11.865221,-73.70358,-10.806521,-69.01412,-25.487614,-82.922615,-11.611326,-73.58608
0.9862591,-12.536203,0.536537,-2.425906,-1.1916746,-8.550679,-1.8811905,-12.454051,-2.6944957,-8.915836,-16.023859,-4.251698,-0.08821386,-0.23708895,0.98834914,-10.781989,-8.969649,-2.6673777,-1.1134906,-12.548656,2.024751,-11.487838,4.307747,12.249055,-1.7230042,-9.8974905,0.113264,-6.6753497,-0.5063192,-12.31779,-2.1270287,-10.347512
13.657657,-69.9358,23.34643,-71.97295,9.456411,-54.16129,10.00382,-60.443417,10.762143,-56.39413,3.562742,30.442589,7.7800984,-50.655968,16.763731,-72.76161,1.0560933,-25.111433,10.137929,-63.49139,14.612127,-70.37364,-2.579944,-4.354446,10.254657,-58.30566,9.056953,-52.41056,13.088718,-68.854256,10.23026,-57.995083
-12.562514,18.323631,-18.679316,29.608418,-22.105328,19.345425,-14.876523,19.342909,-24.051281,20.164448,-26.395168,28.632881,-11.253537,15.132101,-4.9929814,19.51223,-25.269686,30.23971,-9.827395,22.673008,-11.118208,18.324816,-27.954737,26.748852,-20.795658,21.960726,-20.934095,18.675264,-15.551045,17.053299,-20.81568,21.20466
-10.033367,-22.926796,-17.763964,-24.733452,-13.409669,-16.613276,-14.113793,-16.64382,-15.042876,-17.473915,-15.640701,-26.215097,-17.140667,-17.533594,-17.222946,-24.32169,-17.861591,-27.009205,-12.737385,-17.723616,-15.604283,-23.782167,-16.596247,-27.252186,-13.2425585,-16.156816,-15.466905,-17.78844,-10.38878,-22.255775,-14.440493,-17.710743
-63.833466,35.669754,-72.249756,32.516373,-41.844532,34.20593,-56.10294,33.53808,-44.310387,36.141823,-36.298134,92.96114,-30.84338,29.417677,-66.90818,36.25839,-78.37496,35.1718,-68.85522,36.924538,-66.002625,35.318836,-78.50748,37.662476,-45.47508,34.60279,-40.11407,33.736576,-62.38907,35.53002,-44.884678,34.44008
86.36466,-19.355724,18.366646,-8.739863,39.672817,-25.395037,42.03176,-26.024942,39.63318,-24.588446,3.5093956,58.805725,36.25136,-24.037586,86.987404,-21.72503,0.8796006,28.259039,45.882378,-30.395111,87.10463,-18.93736,2.3873923,41.78478,39.885418,-24.204544,37.707397,-24.373758,85.21917,-20.735708,39.332397,-24.007074
-53.438694,-60.302082,-50.102886,-76.73604,-34.630657,-57.17853,-42.614082,-60.384155,-38.198757,-59.871746,-18.920792,-87.51018,-34.393745,-54.24835,-54.060997,-64.63717,-37.90616,-85.99397,-44.534157,-60.237297,-53.35408,-62.022823,-31.335802,-85.4725,-40.492104,-59.15262,-33.683098,-56.94339,-51.46603,-59.762226,-39.982506,-58.995525
24.491398,-39.55887,23.66384,-39.08932,20.50281,-30.922235,23.185495,-36.540306,21.243246,-32.846848,21.269932,-24.923758,18.696135,-28.785017,23.810135,-41.254837,22.53412,-35.219185,23.241816,-37.260597,24.152645,-40.589394,20.466848,-36.59793,22.115606,-33.826252,19.374023,-29.6356,24.197708,-38.008343,21.650196,-33.59918
11.326452,52.987392,19.884296,62.405987,13.747656,26.513626,21.336048,43.37767,6.721348,36.178986,14.970576,73.19243,17.36355,25.411835,17.561857,52.857998,20.972649,65.9723,20.965775,44.824795,17.45357,50.517994,19.6917,67.89732,6.767168,36.02341,11.8769865,27.027699,14.072131,52.5004,6.198135,36.199444
-28.01678,-7.001422,-38.356007,-12.044687,-23.183302,-6.109633,-26.217295,-4.4848785,-25.240082,-5.9942718,-43.22201,-18.898167,-24.59573,-4.221164,-31.793709,-3.768719,-46.183796,-13.470127,-25.920761,-2.2595253,-29.33336,-7.6908026,-45.36785,-16.15636,-25.295088,-6.072125,-24.08756,-6.356307,-27.885134,-7.19766,-25.349045,-6.1529074
24.53626,57.114502,27.4344,71.91978,25.768192,42.353737,24.0931,49.156376,26.981321,46.48256,18.869614,83.3377,23.804695,39.536663,23.988932,61.759438,27.15648,77.89433,24.647314,51.194023,22.408978,58.827187,25.208496,80.67822,26.457342,45.2271,26.409573,42.019127,23.805073,57.714725,26.048134,44.970566
6.5735564,71.89968,8.450248,89.88081,14.559898,47.81763,6.9676185,55.79543,15.2170725,55.07592,3.2045677,108.68281,11.280404,43.933132,3.4853852,74.97602,11.897789,100.40453,6.017874,61.32848,4.8380623,72.83217,-0.25394458,101.57557,13.442824,58.393208,15.924061,48.244125,8.667834,74.55325,13.157219,58.051785
29.02578,-42.04499,27.49162,-41.811954,24.687054,-33.307266,27.106983,-39.091908,24.917522,-35.226437,17.49976,-33.640865,22.642792,-31.171885,28.577946,-43.464413,24.815432,-38.952538,27.109339,-40.356934,28.326584,-43.50821,22.430618,-39.8944,25.967302,-36.145424,23.491621,-32.1116,28.767666,-40.269566,25.478365,-35.836887
-58.41943,-11.762192,-67.076515,-19.972248,-48.33118,-1.6920892,-55.44037,1.4624109,-52.186966,-2.666102,-66.94022,-35.542244,-46.85273,0.34405375,-59.732304,-13.729946,-71.44976,-25.805544,-55.05296,1.9691899,-57.266415,-12.907574,-71.207855,-30.554111,-54.37617,0.20175616,-47.97361,-1.8752458,-62.822132,-1.9819773,-53.936554,-0.38107565
-44.271355,13.724668,-55.660053,3.1852376,-43.299446,2.6124613,-39.513985,-3.342422,-46.828438,2.7605488,-71.793655,-7.179838,-35.433712,5.0443187,-45.352303,10.556357,-61.68672,-4.3103714,-38.8673,1.1488396,-43.82637,14.034289,-66.95752,-8.265661,-38.419376,-6.46852,-43.672882,1.7773324,-61.61108,8.540919,-38.26169,-6.2353225
